nodes,ntasks,backend,solver_creation,solver_time,system,size,memory_type,send_type,cycles
4,2,MPIAdvance-CXI-Double-Buffering,0.0165803,0.872431,frontier,16384,fine,Ready Send,1000
4,2,MPIAdvance-CXI-Single-Buffering,0.0196356,0.877374,frontier,16384,fine,Standard,1000
4,2,MPIAdvance-CXI-Single-Buffering,0.0199449,0.872511,frontier,16384,coarse,Standard,1000
4,2,Cray-MPICH-CXI-GPU-Enabled,0.00417756,0.880988,frontier,16384,coarse,Standard,1000
4,2,MPIAdvance-CXI-Double-Buffering,0.017461,10.778,frontier,61440,coarse,Ready Send,1000
4,2,MPIAdvance-CXI-Double-Buffering,0.0174267,10.7331,frontier,61440,fine,Ready Send,1000
4,2,MPIAdvance-CXI-Single-Buffering,0.0202536,10.8548,frontier,61440,fine,Standard,1000
4,2,MPIAdvance-CXI-Single-Buffering,0.0203836,10.8496,frontier,61440,coarse,Standard,1000
4,2,Cray-MPICH-CXI-GPU-Enabled,0.00496772,10.7036,frontier,61440,coarse,Standard,1000
4,4,MPIAdvance-CXI-Double-Buffering,0.0183565,0.508045,frontier,16384,coarse,Ready Send,1000
4,4,MPIAdvance-CXI-Double-Buffering,0.0183505,0.513063,frontier,16384,fine,Ready Send,1000
4,4,MPIAdvance-CXI-Single-Buffering,0.0228172,0.52013,frontier,16384,fine,Standard,1000
4,4,MPIAdvance-CXI-Single-Buffering,0.0240813,0.515977,frontier,16384,coarse,Standard,1000
4,4,Cray-MPICH-CXI-GPU-Enabled,0.00658133,0.530673,frontier,16384,coarse,Standard,1000
4,4,MPIAdvance-CXI-Double-Buffering,0.0197035,5.52624,frontier,61440,coarse,Ready Send,1000
4,4,MPIAdvance-CXI-Double-Buffering,0.0200842,5.55103,frontier,61440,fine,Ready Send,1000
4,4,MPIAdvance-CXI-Single-Buffering,0.0244802,5.62585,frontier,61440,fine,Standard,1000
4,4,MPIAdvance-CXI-Single-Buffering,0.0264858,5.63857,frontier,61440,coarse,Standard,1000
4,4,Cray-MPICH-CXI-GPU-Enabled,0.00855417,5.55645,frontier,61440,coarse,Standard,1000
4,8,MPIAdvance-CXI-Double-Buffering,0.0373389,0.316496,frontier,16384,coarse,Ready Send,1000
4,8,MPIAdvance-CXI-Double-Buffering,0.0255645,0.321967,frontier,16384,fine,Ready Send,1000
4,8,MPIAdvance-CXI-Single-Buffering,0.0411174,0.331794,frontier,16384,fine,Standard,1000
4,8,MPIAdvance-CXI-Single-Buffering,0.0378483,0.326064,frontier,16384,coarse,Standard,1000
4,8,Cray-MPICH-CXI-GPU-Enabled,0.0206382,0.344556,frontier,16384,coarse,Standard,1000
4,8,MPIAdvance-CXI-Double-Buffering,0.0329056,2.67739,frontier,61440,coarse,Ready Send,1000
4,8,MPIAdvance-CXI-Double-Buffering,0.0333808,2.68029,frontier,61440,fine,Ready Send,1000
4,8,MPIAdvance-CXI-Single-Buffering,0.0379484,2.68688,frontier,61440,fine,Standard,1000
4,8,MPIAdvance-CXI-Single-Buffering,0.0443929,2.68283,frontier,61440,coarse,Standard,1000
4,8,Cray-MPICH-CXI-GPU-Enabled,0.0221091,2.69476,frontier,61440,coarse,Standard,1000
16,1,MPIAdvance-CXI-Double-Buffering,0.055961,0.506414,frontier,16384,coarse,Ready Send,1000
16,1,MPIAdvance-CXI-Double-Buffering,0.0148709,0.51163,frontier,16384,fine,Ready Send,1000
16,1,MPIAdvance-CXI-Single-Buffering,0.0180159,0.522086,frontier,16384,fine,Standard,1000
16,1,MPIAdvance-CXI-Single-Buffering,0.017924,0.517811,frontier,16384,coarse,Standard,1000
16,1,Cray-MPICH-CXI-GPU-Enabled,0.00418277,0.518237,frontier,16384,coarse,Standard,1000
16,1,MPIAdvance-CXI-Double-Buffering,0.0159662,5.54907,frontier,61440,coarse,Ready Send,1000
16,1,MPIAdvance-CXI-Double-Buffering,0.0134322,5.52209,frontier,61440,fine,Ready Send,1000
16,1,MPIAdvance-CXI-Single-Buffering,0.0189453,5.72276,frontier,61440,fine,Standard,1000
16,1,MPIAdvance-CXI-Single-Buffering,0.0187168,5.71626,frontier,61440,coarse,Standard,1000
16,1,Cray-MPICH-CXI-GPU-Enabled,0.00521186,5.6341,frontier,61440,coarse,Standard,1000
16,2,MPIAdvance-CXI-Double-Buffering,0.0180942,0.318066,frontier,16384,coarse,Ready Send,1000
16,2,MPIAdvance-CXI-Double-Buffering,0.0164902,0.32322,frontier,16384,fine,Ready Send,1000
16,2,MPIAdvance-CXI-Single-Buffering,0.0221479,0.332695,frontier,16384,fine,Standard,1000
16,2,MPIAdvance-CXI-Single-Buffering,0.0220419,0.326916,frontier,16384,coarse,Standard,1000
16,2,Cray-MPICH-CXI-GPU-Enabled,0.00592433,0.335228,frontier,16384,coarse,Standard,1000
16,2,MPIAdvance-CXI-Double-Buffering,0.0173035,2.68274,frontier,61440,coarse,Ready Send,1000
16,2,MPIAdvance-CXI-Double-Buffering,0.0156336,2.68558,frontier,61440,fine,Ready Send,1000
16,2,MPIAdvance-CXI-Single-Buffering,0.0235008,2.68802,frontier,61440,fine,Standard,1000
16,2,MPIAdvance-CXI-Single-Buffering,0.0213999,2.68379,frontier,61440,coarse,Standard,1000
16,2,Cray-MPICH-CXI-GPU-Enabled,0.00687807,2.68418,frontier,61440,coarse,Standard,1000
16,4,MPIAdvance-CXI-Double-Buffering,0.0246605,0.226651,frontier,16384,coarse,Ready Send,1000
16,4,MPIAdvance-CXI-Double-Buffering,0.018483,0.23266,frontier,16384,fine,Ready Send,1000
16,4,MPIAdvance-CXI-Single-Buffering,0.02425,0.243267,frontier,16384,fine,Standard,1000
16,4,MPIAdvance-CXI-Single-Buffering,0.0245692,0.237131,frontier,16384,coarse,Standard,1000
16,4,Cray-MPICH-CXI-GPU-Enabled,0.0095529,0.251912,frontier,16384,coarse,Standard,1000
16,4,MPIAdvance-CXI-Double-Buffering,0.0253446,1.42873,frontier,61440,coarse,Ready Send,1000
16,4,MPIAdvance-CXI-Double-Buffering,0.0191609,1.42988,frontier,61440,fine,Ready Send,1000
16,4,MPIAdvance-CXI-Single-Buffering,0.0277678,1.43418,frontier,61440,fine,Standard,1000
16,4,MPIAdvance-CXI-Single-Buffering,0.0257933,1.43281,frontier,61440,coarse,Standard,1000
16,4,Cray-MPICH-CXI-GPU-Enabled,0.0124672,1.44414,frontier,61440,coarse,Standard,1000
16,8,MPIAdvance-CXI-Double-Buffering,0.0369877,0.173403,frontier,16384,coarse,Ready Send,1000
16,8,MPIAdvance-CXI-Double-Buffering,0.0384472,0.183156,frontier,16384,fine,Ready Send,1000
16,8,MPIAdvance-CXI-Single-Buffering,0.040743,0.193876,frontier,16384,fine,Standard,1000
16,8,MPIAdvance-CXI-Single-Buffering,0.0432265,0.184267,frontier,16384,coarse,Standard,1000
16,8,Cray-MPICH-CXI-GPU-Enabled,0.0104854,0.208363,frontier,16384,coarse,Standard,1000
16,8,MPIAdvance-CXI-Double-Buffering,0.0369778,0.786795,frontier,61440,coarse,Ready Send,1000
16,8,MPIAdvance-CXI-Double-Buffering,0.0490938,0.7885,frontier,61440,fine,Ready Send,1000
16,8,MPIAdvance-CXI-Single-Buffering,0.0321898,0.794213,frontier,61440,fine,Standard,1000
16,8,MPIAdvance-CXI-Single-Buffering,0.0334716,0.791214,frontier,61440,coarse,Standard,1000
16,8,Cray-MPICH-CXI-GPU-Enabled,0.0145253,0.810493,frontier,61440,coarse,Standard,1000
1,1,MPIAdvance-CXI-Double-Buffering,0.0462149,6.34743,frontier,16384,coarse,Ready Send,1000
1,1,MPIAdvance-CXI-Double-Buffering,0.0161706,6.38004,frontier,16384,fine,Ready Send,1000
1,1,MPIAdvance-CXI-Single-Buffering,0.0188622,6.5404,frontier,16384,fine,Standard,1000
1,1,MPIAdvance-CXI-Single-Buffering,0.0198548,6.5108,frontier,16384,coarse,Standard,1000
1,1,Cray-MPICH-CXI-GPU-Enabled,0.00378668,6.15675,frontier,16384,coarse,Standard,1000
1,1,MPIAdvance-CXI-Double-Buffering,0.0193676,88.9031,frontier,61440,coarse,Ready Send,1000
1,1,MPIAdvance-CXI-Double-Buffering,1.48406,88.8871,frontier,61440,fine,Ready Send,1000
1,1,MPIAdvance-CXI-Single-Buffering,1.58626,89.0621,frontier,61440,fine,Standard,1000
1,1,MPIAdvance-CXI-Single-Buffering,1.61561,89.2716,frontier,61440,coarse,Standard,1000
1,1,Cray-MPICH-CXI-GPU-Enabled,1.59088,89.3212,frontier,61440,coarse,Standard,1000
1,2,MPIAdvance-CXI-Double-Buffering,0.0359551,3.01936,frontier,16384,coarse,Ready Send,1000
1,2,MPIAdvance-CXI-Double-Buffering,0.0232375,3.02229,frontier,16384,fine,Ready Send,1000
1,2,MPIAdvance-CXI-Single-Buffering,0.0267305,3.02487,frontier,16384,fine,Standard,1000
1,2,MPIAdvance-CXI-Single-Buffering,0.0296482,3.02143,frontier,16384,coarse,Standard,1000
1,2,Cray-MPICH-CXI-GPU-Enabled,0.00351122,3.06742,frontier,16384,coarse,Standard,1000
1,2,MPIAdvance-CXI-Double-Buffering,0.0305722,42.9669,frontier,61440,coarse,Ready Send,1000
1,2,MPIAdvance-CXI-Double-Buffering,0.0360768,42.9481,frontier,61440,fine,Ready Send,1000
1,2,MPIAdvance-CXI-Single-Buffering,0.0413831,42.6664,frontier,61440,fine,Standard,1000
1,2,MPIAdvance-CXI-Single-Buffering,0.0415723,42.6398,frontier,61440,coarse,Standard,1000
1,2,Cray-MPICH-CXI-GPU-Enabled,0.0119833,42.9314,frontier,61440,coarse,Standard,1000
1,4,MPIAdvance-CXI-Double-Buffering,0.0463151,1.58971,frontier,16384,coarse,Ready Send,1000
1,4,MPIAdvance-CXI-Double-Buffering,0.0375238,1.59446,frontier,16384,fine,Ready Send,1000
1,4,MPIAdvance-CXI-Single-Buffering,0.0438384,1.59896,frontier,16384,fine,Standard,1000
1,4,MPIAdvance-CXI-Single-Buffering,0.0475044,1.59466,frontier,16384,coarse,Standard,1000
1,4,Cray-MPICH-CXI-GPU-Enabled,0.00370957,1.60741,frontier,16384,coarse,Standard,1000
1,4,MPIAdvance-CXI-Double-Buffering,0.0398929,21.9855,frontier,61440,coarse,Ready Send,1000
1,4,MPIAdvance-CXI-Double-Buffering,0.0398789,22.2734,frontier,61440,fine,Ready Send,1000
1,4,MPIAdvance-CXI-Single-Buffering,0.0461433,21.8311,frontier,61440,fine,Standard,1000
1,4,MPIAdvance-CXI-Single-Buffering,0.0453835,21.8234,frontier,61440,coarse,Standard,1000
1,4,Cray-MPICH-CXI-GPU-Enabled,0.0146684,21.6353,frontier,61440,coarse,Standard,1000
1,8,MPIAdvance-CXI-Double-Buffering,0.068586,0.865988,frontier,16384,coarse,Ready Send,1000
1,8,MPIAdvance-CXI-Double-Buffering,0.0679315,0.869916,frontier,16384,fine,Ready Send,1000
1,8,MPIAdvance-CXI-Single-Buffering,0.0714578,0.875543,frontier,16384,fine,Standard,1000
1,8,MPIAdvance-CXI-Single-Buffering,0.0753467,0.870799,frontier,16384,coarse,Standard,1000
