GPU,Backend,Buffering,Iters,Items,Time
MI300,cxi-coarse,db,1000,33554432,11.5426
MI300,cxi-fine,sb,1000,33554432,12.128
MI300,cxi-fine,db,1000,33554432,12.2291
MI300,mpi,sb,1000,33554432,11.5385
MI300,mpi,db,1000,33554432,11.5266
MI300,cxi-coarse,sb,1000,67108864,24.4616
MI300,cxi-coarse,db,1000,67108864,23.0623
MI300,cxi-fine,sb,1000,67108864,25.7158
MI300,cxi-fine,db,1000,67108864,24.5042
MI300,mpi,sb,1000,67108864,23.1515
MI300,mpi,db,1000,67108864,23.1142
MI300,cxi-coarse,sb,1000,134217728,50.652
MI300,cxi-coarse,db,1000,134217728,46.1887
MI300,cxi-fine,sb,1000,134217728,46.3792
MI300,cxi-fine,db,1000,134217728,49.0622
MI300,mpi,sb,1000,134217728,46.2308
MI300,mpi,db,1000,134217728,46.2284
MI300,cxi-coarse,sb,1000,268435456,99.0854
MI300,cxi-coarse,db,1000,268435456,98.4872
MI300,cxi-fine,sb,1000,268435456,98.8159
MI300,cxi-fine,db,1000,268435456,97.4197
MI300,mpi,sb,1000,268435456,92.2913
MI300,mpi,db,1000,268435456,92.4063
MI300,cxi-coarse,sb,100000,8,2.05663
MI300,cxi-coarse,db,100000,8,1.8121
MI300,cxi-fine,sb,100000,8,2.00711
MI300,cxi-fine,db,100000,8,1.7927
MI300,mpi,sb,100000,8,3.54463
MI300,mpi,db,100000,8,3.5899
MI300,cxi-coarse,sb,100000,16,2.00949
MI300,cxi-coarse,db,100000,16,1.77772
MI300,cxi-fine,sb,100000,16,2.03706
MI300,cxi-fine,db,100000,16,1.82185
MI300,mpi,sb,100000,16,4.24587
MI300,mpi,db,100000,16,4.16645
MI300,cxi-coarse,sb,100000,32,2.16843
MI300,cxi-coarse,db,100000,32,1.9099
MI300,cxi-fine,sb,100000,32,2.13045
MI300,cxi-fine,db,100000,32,1.90058
MI300,mpi,sb,100000,32,4.58045
MI300,mpi,db,100000,32,4.56387
MI300,cxi-coarse,sb,100000,64,2.23391
MI300,cxi-coarse,db,100000,64,1.90519
MI300,cxi-fine,sb,100000,64,2.38554
MI300,cxi-fine,db,100000,64,3.04661
MI300,mpi,sb,100000,64,5.20358
MI300,mpi,db,100000,64,4.56329
MI300,cxi-coarse,sb,100000,128,4.80172
MI300,cxi-coarse,db,100000,128,1.97035
MI300,cxi-fine,sb,100000,128,2.40738
MI300,cxi-fine,db,100000,128,1.96853
MI300,mpi,sb,100000,128,4.76314
MI300,mpi,db,100000,128,4.53967
MI300,cxi-coarse,sb,100000,256,4.31168
MI300,cxi-coarse,db,100000,256,1.99125
MI300,cxi-fine,sb,100000,256,2.23754
MI300,cxi-fine,db,100000,256,3.08496
MI300,mpi,sb,100000,256,4.83305
MI300,mpi,db,100000,256,4.55867
MI300,cxi-coarse,sb,100000,512,2.37557
MI300,cxi-coarse,db,100000,512,3.06644
MI300,cxi-fine,sb,100000,512,2.36013
MI300,cxi-fine,db,100000,512,2.04756
MI300,mpi,sb,100000,512,4.91273
MI300,mpi,db,100000,512,3.82732
