nodes,ntasks,backend,solver_creation,solver_time,system,size,memory_type,send_type,cycles
2,4,MPIAdvance-CXI-Double-Buffering,0.277168,0.485482,tuolumne,16384,coarse,Ready Send,1000
2,4,MPIAdvance-CXI-Double-Buffering,0.385599,0.486605,tuolumne,16384,fine,Ready Send,1000
2,4,MPIAdvance-CXI-Single-Buffering,0.475906,0.49585,tuolumne,16384,coarse,Standard,1000
2,4,MPIAdvance-CXI-Single-Buffering,0.4841,0.495784,tuolumne,16384,fine,Standard,1000
2,4,Cray-MPICH-CXI-GPU-Enabled,0.343227,0.664207,tuolumne,16384,coarse,Standard,1000
2,4,MPIAdvance-CXI-Double-Buffering,0.992081,11.0762,tuolumne,88320,coarse,Ready Send,1000
2,4,MPIAdvance-CXI-Double-Buffering,0.982787,11.0776,tuolumne,88320,fine,Ready Send,1000
2,4,MPIAdvance-CXI-Single-Buffering,0.933237,11.0213,tuolumne,88320,coarse,Standard,1000
2,4,MPIAdvance-CXI-Single-Buffering,0.943212,11.0244,tuolumne,88320,fine,Standard,1000
2,4,Cray-MPICH-CXI-GPU-Enabled,0.872244,11.2221,tuolumne,88320,coarse,Standard,1000
4,1,MPIAdvance-CXI-Double-Buffering,0.211484,0.871627,tuolumne,16384,coarse,Ready Send,1000
4,1,MPIAdvance-CXI-Double-Buffering,0.225358,0.869359,tuolumne,16384,fine,Ready Send,1000
4,1,MPIAdvance-CXI-Single-Buffering,0.24372,0.878409,tuolumne,16384,coarse,Standard,1000
4,1,MPIAdvance-CXI-Single-Buffering,0.205872,0.87815,tuolumne,16384,fine,Standard,1000
4,1,Cray-MPICH-CXI-GPU-Enabled,0.191619,0.881069,tuolumne,16384,coarse,Standard,1000
4,1,MPIAdvance-CXI-Double-Buffering,2.31594,22.8102,tuolumne,88320,coarse,Ready Send,1000
4,1,MPIAdvance-CXI-Double-Buffering,2.2476,22.8022,tuolumne,88320,fine,Ready Send,1000
4,1,MPIAdvance-CXI-Single-Buffering,2.2815,22.8317,tuolumne,88320,coarse,Standard,1000
4,1,MPIAdvance-CXI-Single-Buffering,2.27204,22.8512,tuolumne,88320,fine,Standard,1000
4,1,Cray-MPICH-CXI-GPU-Enabled,2.16795,22.805,tuolumne,88320,coarse,Standard,1000
4,2,MPIAdvance-CXI-Double-Buffering,0.266291,0.507344,tuolumne,16384,coarse,Ready Send,1000
4,2,MPIAdvance-CXI-Double-Buffering,0.230809,0.507675,tuolumne,16384,fine,Ready Send,1000
4,2,MPIAdvance-CXI-Single-Buffering,0.296457,0.519015,tuolumne,16384,coarse,Standard,1000
4,2,MPIAdvance-CXI-Single-Buffering,0.249651,0.518147,tuolumne,16384,fine,Standard,1000
4,2,Cray-MPICH-CXI-GPU-Enabled,0.158597,0.521258,tuolumne,16384,coarse,Standard,1000
4,2,MPIAdvance-CXI-Double-Buffering,0.829448,11.0642,tuolumne,88320,coarse,Ready Send,1000
