nodes,ntasks,backend,solver_creation,solver_time,system,size,memory_type,send_type,cycles
8,2,MPIAdvance-CXI-Double-Buffering,0.392258,5.93769,tuolumne,90112,coarse,Ready Send,1000
8,2,MPIAdvance-CXI-Single-Buffering,0.424622,5.95818,tuolumne,90112,coarse,Standard,1000
8,2,Cray-MPICH-CXI-GPU-Enabled,0.362312,5.97176,tuolumne,90112,coarse,Standard,1000
8,4,MPIAdvance-CXI-Double-Buffering,0.277655,2.98722,tuolumne,90112,coarse,Ready Send,1000
8,4,MPIAdvance-CXI-Single-Buffering,0.264372,3.00072,tuolumne,90112,coarse,Standard,1000
8,4,Cray-MPICH-CXI-GPU-Enabled,0.228676,3.07123,tuolumne,90112,coarse,Standard,1000
8,1,MPIAdvance-CXI-Double-Buffering,0.0959999,0.505137,tuolumne,16384,finegrain,Ready Send,1000
8,1,MPIAdvance-CXI-Single-Buffering,0.0968791,0.534474,tuolumne,16384,finegrain,Standard,1000
8,1,Cray-MPICH-CXI-GPU-Enabled,0.0744372,0.525593,tuolumne,16384,finegrain,Standard,1000
8,2,MPIAdvance-CXI-Double-Buffering,0.12837,0.297321,tuolumne,16384,finegrain,Ready Send,1000
8,2,MPIAdvance-CXI-Single-Buffering,0.0764754,0.318972,tuolumne,16384,finegrain,Standard,1000
8,2,Cray-MPICH-CXI-GPU-Enabled,0.0598269,0.319048,tuolumne,16384,finegrain,Standard,1000
8,4,MPIAdvance-CXI-Double-Buffering,0.139124,0.18541,tuolumne,16384,finegrain,Ready Send,1000
8,4,MPIAdvance-CXI-Single-Buffering,0.13827,0.211807,tuolumne,16384,finegrain,Standard,1000
8,4,Cray-MPICH-CXI-GPU-Enabled,0.0764104,0.257466,tuolumne,16384,finegrain,Standard,1000
8,1,MPIAdvance-CXI-Double-Buffering,1.24099,11.776,tuolumne,90112,finegrain,Ready Send,1000
8,1,MPIAdvance-CXI-Single-Buffering,1.19086,11.7945,tuolumne,90112,finegrain,Standard,1000
8,1,Cray-MPICH-CXI-GPU-Enabled,1.21599,11.8158,tuolumne,90112,finegrain,Standard,1000
8,2,MPIAdvance-CXI-Double-Buffering,0.382008,5.93743,tuolumne,90112,finegrain,Ready Send,1000
8,2,MPIAdvance-CXI-Single-Buffering,0.363325,5.95328,tuolumne,90112,finegrain,Standard,1000
8,2,Cray-MPICH-CXI-GPU-Enabled,0.355011,5.97612,tuolumne,90112,finegrain,Standard,1000
