system,nodes,ppn,matrix,backend,solver_time
Frontier,4,1,Flan_1565,mpi,0.613523
Frontier,4,1,Flan_1565,st,0.606940
Frontier,4,1,Queen_4147,mpi,34.361661
Frontier,4,1,Queen_4147,st,33.708351
Frontier,4,1,Serena,mpi,1.336997
Frontier,4,1,Serena,st,1.296998
Frontier,4,1,nd24k,mpi,0.146891
Frontier,4,1,nd24k,st,0.165132
Frontier,4,1,ldoor,mpi,2.668247
Frontier,4,1,ldoor,st,2.607352
Frontier,4,2,audikw_1,mpi,1.315881
Frontier,4,2,audikw_1,st,1.371116
Frontier,4,2,Bump_2911,mpi,9.768844
Frontier,4,2,Bump_2911,st,9.812347
Frontier,4,2,Cube_Coup_dt0,mpi,0.142636
Frontier,4,2,Cube_Coup_dt0,st,0.142846
Frontier,4,2,Flan_1565,mpi,0.398775
Frontier,4,2,Flan_1565,st,0.394877
Frontier,4,2,Queen_4147,mpi,18.830111
Frontier,4,2,Queen_4147,st,18.535713
Frontier,4,2,Serena,mpi,1.008654
Frontier,4,2,Serena,st,1.008525
Frontier,4,2,nd24k,mpi,0.142427
Frontier,4,2,nd24k,st,0.142732
Frontier,4,2,ldoor,mpi,1.965165
Frontier,4,2,ldoor,st,2.016168
Frontier,4,4,audikw_1,mpi,1.177671
Frontier,4,4,audikw_1,st,1.227375
Frontier,4,4,Bump_2911,mpi,7.679669
Frontier,4,4,Bump_2911,st,8.890384
Frontier,4,4,Cube_Coup_dt0,mpi,0.111462
Frontier,4,4,Cube_Coup_dt0,st,0.123978
Frontier,4,4,Flan_1565,mpi,0.304913
Frontier,4,4,Flan_1565,st,0.297716
Frontier,4,4,Queen_4147,mpi,11.656564
Frontier,4,4,Queen_4147,st,12.234953
Frontier,4,4,Serena,mpi,0.856562
Frontier,4,4,Serena,st,1.011610
Frontier,4,4,nd24k,mpi,0.150429
Frontier,4,4,nd24k,st,0.204162
Frontier,4,4,ldoor,mpi,1.807450
Frontier,4,4,ldoor,st,1.868539
Frontier,4,8,audikw_1,mpi,1.102582
Frontier,4,8,audikw_1,st,1.338851
Frontier,4,8,Bump_2911,mpi,6.707981
Frontier,4,8,Bump_2911,st,8.720867
Frontier,4,8,Cube_Coup_dt0,mpi,0.101689
Frontier,4,8,Cube_Coup_dt0,st,0.121560
Frontier,4,8,Flan_1565,mpi,0.249058
Frontier,4,8,Flan_1565,st,0.284156
Frontier,4,8,Queen_4147,mpi,8.938516
Frontier,4,8,Queen_4147,st,10.332670
Frontier,4,8,Serena,mpi,0.841251
Frontier,4,8,Serena,st,1.216789
Frontier,4,8,nd24k,mpi,0.156838
Frontier,4,8,nd24k,st,0.236243
Frontier,4,8,ldoor,mpi,1.702843
Frontier,4,8,ldoor,st,1.963940
Frontier,8,1,audikw_1,mpi,1.327495
Frontier,8,1,audikw_1,st,1.354302
Frontier,8,1,Bump_2911,mpi,9.746231
Frontier,8,1,Bump_2911,st,10.146585
Frontier,8,1,Cube_Coup_dt0,mpi,0.142322
Frontier,8,1,Cube_Coup_dt0,st,0.147055
Frontier,8,1,Flan_1565,mpi,0.401877
Frontier,8,1,Flan_1565,st,0.403415
Frontier,8,1,Queen_4147,mpi,19.164818
Frontier,8,1,Queen_4147,st,18.665434
Frontier,8,1,Serena,mpi,0.967327
Frontier,8,1,Serena,st,1.056741
Frontier,8,1,nd24k,mpi,0.142921
Frontier,8,1,nd24k,st,0.160005
Frontier,8,1,ldoor,mpi,2.036116
Frontier,8,1,ldoor,st,2.185852
Frontier,8,2,audikw_1,mpi,1.198139
Frontier,8,2,audikw_1,st,1.237234
Frontier,8,2,Bump_2911,mpi,7.441046
Frontier,8,2,Bump_2911,st,8.427584
Frontier,8,2,Cube_Coup_dt0,mpi,0.110007
Frontier,8,2,Cube_Coup_dt0,st,0.117152
Frontier,8,2,Flan_1565,mpi,0.302317
Frontier,8,2,Flan_1565,st,0.302944
Frontier,8,2,Queen_4147,mpi,11.963419
Frontier,8,2,Queen_4147,st,12.348561
Frontier,8,2,Serena,mpi,0.916428
Frontier,8,2,Serena,st,1.061055
Frontier,8,2,nd24k,mpi,0.150230
Frontier,8,2,nd24k,st,0.204007
Frontier,8,2,ldoor,mpi,1.818686
Frontier,8,2,ldoor,st,1.944392
Frontier,8,4,audikw_1,mpi,1.098681
Frontier,8,4,audikw_1,st,1.322974
Frontier,8,4,Bump_2911,mpi,6.651449
Frontier,8,4,Bump_2911,st,8.621223
Frontier,8,4,Cube_Coup_dt0,mpi,0.102153
Frontier,8,4,Cube_Coup_dt0,st,0.124754
Frontier,8,4,Flan_1565,mpi,0.255772
Frontier,8,4,Flan_1565,st,0.279071
Frontier,8,4,Queen_4147,mpi,8.793848
Frontier,8,4,Queen_4147,st,10.247411
Frontier,8,4,Serena,mpi,0.857685
Frontier,8,4,Serena,st,1.232641
Frontier,8,4,nd24k,mpi,0.156938
Frontier,8,4,nd24k,st,0.246300
Frontier,8,4,ldoor,mpi,1.713975
Frontier,8,4,ldoor,st,2.092370
Frontier,8,8,audikw_1,mpi,1.177322
Frontier,8,8,audikw_1,st,1.564332
Frontier,8,8,Bump_2911,mpi,6.001665
Frontier,8,8,Bump_2911,st,9.945487
Frontier,8,8,Cube_Coup_dt0,mpi,0.097726
Frontier,8,8,Cube_Coup_dt0,st,0.140092
Frontier,8,8,Flan_1565,mpi,0.243117
Frontier,8,8,Flan_1565,st,0.296408
Frontier,8,8,Queen_4147,mpi,7.180392
Frontier,8,8,Queen_4147,st,10.253295
Frontier,8,8,Serena,mpi,0.853118
Frontier,8,8,Serena,st,1.444602
Frontier,8,8,nd24k,mpi,0.167617
Frontier,8,8,nd24k,st,0.302950
Frontier,8,8,ldoor,mpi,1.703179
Frontier,8,8,ldoor,st,2.245414
Frontier,1,1,audikw_1,mpi,5.219105
Frontier,1,1,audikw_1,st,5.217586
Frontier,1,1,Bump_2911,mpi,49.535718
Frontier,1,1,Bump_2911,st,49.078076
Frontier,1,1,Cube_Coup_dt0,mpi,0.648738
Frontier,1,1,Cube_Coup_dt0,st,0.641666
Frontier,1,1,Flan_1565,mpi,1.923123
Frontier,1,1,Flan_1565,st,1.923245
Frontier,1,1,Queen_4147,mpi,117.553420
Frontier,1,1,Queen_4147,st,121.796029
Frontier,1,1,Serena,mpi,3.443896
Frontier,1,1,Serena,st,3.451240
Frontier,1,1,nd24k,mpi,0.251178
Frontier,1,1,nd24k,st,0.247123
Frontier,1,1,ldoor,mpi,6.235561
Frontier,1,1,ldoor,st,6.243759
Frontier,1,2,audikw_1,mpi,2.988367
Frontier,1,2,audikw_1,st,2.900576
Frontier,1,2,Bump_2911,mpi,26.357457
Frontier,1,2,Bump_2911,st,25.790670
Frontier,1,2,Cube_Coup_dt0,mpi,0.361466
Frontier,1,2,Cube_Coup_dt0,st,0.352720
Frontier,1,2,Flan_1565,mpi,1.075731
Frontier,1,2,Flan_1565,st,1.047073
Frontier,1,2,Queen_4147,mpi,64.044397
Frontier,1,2,Queen_4147,st,64.162166
Frontier,1,2,Serena,mpi,2.045000
Frontier,1,2,Serena,st,1.929714
Frontier,1,2,nd24k,mpi,0.187876
Frontier,1,2,nd24k,st,0.185827
Frontier,1,2,ldoor,mpi,3.728807
Frontier,1,2,ldoor,st,3.725557
Frontier,1,4,audikw_1,mpi,1.904983
Frontier,1,4,audikw_1,st,1.789478
Frontier,1,4,Bump_2911,mpi,14.932125
Frontier,1,4,Bump_2911,st,14.389849
Frontier,1,4,Cube_Coup_dt0,mpi,0.209736
Frontier,1,4,Cube_Coup_dt0,st,0.200003
Frontier,1,4,Flan_1565,mpi,0.596307
Frontier,1,4,Flan_1565,st,0.586737
Frontier,1,4,Queen_4147,mpi,33.294663
Frontier,1,4,Queen_4147,st,33.119086
Frontier,1,4,Serena,mpi,1.280955
Frontier,1,4,Serena,st,1.275881
Frontier,1,4,nd24k,mpi,0.146721
Frontier,1,4,nd24k,st,0.139502
Frontier,1,4,ldoor,mpi,2.572027
Frontier,1,4,ldoor,st,2.507522
Frontier,1,8,audikw_1,mpi,1.329482
Frontier,1,8,audikw_1,st,1.263076
Frontier,1,8,Bump_2911,mpi,9.678803
Frontier,1,8,Bump_2911,st,9.596520
Frontier,1,8,Cube_Coup_dt0,mpi,0.138195
Frontier,1,8,Cube_Coup_dt0,st,0.137182
Frontier,1,8,Flan_1565,mpi,0.375612
Frontier,1,8,Flan_1565,st,0.372174
Frontier,1,8,Queen_4147,mpi,18.829260
Frontier,1,8,Queen_4147,st,17.913328
Frontier,1,8,Serena,mpi,0.958072
Frontier,1,8,Serena,st,0.990839
Frontier,1,8,nd24k,mpi,0.140333
Frontier,1,8,nd24k,st,0.138776
Frontier,1,8,ldoor,mpi,1.963728
Frontier,1,8,ldoor,st,1.782937
Frontier,2,1,audikw_1,mpi,3.050967
Frontier,2,1,audikw_1,st,3.013838
Frontier,2,1,Bump_2911,mpi,26.794878
Frontier,2,1,Bump_2911,st,26.384364
Frontier,2,1,Cube_Coup_dt0,mpi,0.370777
Frontier,2,1,Cube_Coup_dt0,st,0.357697
Frontier,2,1,Flan_1565,mpi,1.100747
Frontier,2,1,Flan_1565,st,1.073110
Frontier,2,1,Queen_4147,mpi,64.062084
Frontier,2,1,Queen_4147,st,63.329178
Frontier,2,1,Serena,mpi,2.081767
Frontier,2,1,Serena,st,2.000021
Frontier,2,1,nd24k,mpi,0.190406
Frontier,2,1,nd24k,st,0.197958
Frontier,2,1,ldoor,mpi,3.931588
Frontier,2,1,ldoor,st,3.928990
Frontier,2,2,audikw_1,mpi,1.950490
Frontier,2,2,audikw_1,st,1.867262
Frontier,2,2,Bump_2911,mpi,15.212795
Frontier,2,2,Bump_2911,st,14.692429
Frontier,2,2,Cube_Coup_dt0,mpi,0.212438
Frontier,2,2,Cube_Coup_dt0,st,0.204388
Frontier,2,2,Flan_1565,mpi,0.613353
Frontier,2,2,Flan_1565,st,0.608290
Frontier,2,2,Queen_4147,mpi,34.717195
Frontier,2,2,Queen_4147,st,34.004271
Frontier,2,2,Serena,mpi,1.296965
Frontier,2,2,Serena,st,1.259135
Frontier,2,2,nd24k,mpi,0.147784
Frontier,2,2,nd24k,st,0.149770
Frontier,2,2,ldoor,mpi,2.594498
Frontier,2,2,ldoor,st,2.567859
Frontier,2,4,audikw_1,mpi,1.361217
Frontier,2,4,audikw_1,st,1.364613
Frontier,2,4,Bump_2911,mpi,9.723588
Frontier,2,4,Bump_2911,st,9.778952
Frontier,2,4,Cube_Coup_dt0,mpi,0.138214
